Time [s],Channel 7
1.586472937,0
1.586515813,1
1.586681063,0
1.586720500,1
1.586992875,0
1.587034312,1
1.587305063,0
1.587343437,1
1.587721063,0
1.587759250,1
1.588137000,0
1.588177313,1
1.589280812,0
1.589323812,1
1.589488938,0
1.589528250,1
1.589528312,0
1.589530125,1
1.589904750,0
1.589947812,1
1.612398313,0
1.612443375,1
1.614818250,0
1.614859500,1
1.615026312,0
1.615067625,1
1.615234375,0
1.615275000,1
1.615442375,0
1.615483063,1
1.615650375,0
1.615690062,1
1.615962250,0
1.616005125,1
1.616274187,0
1.616317625,1
1.616690375,0
1.616731062,1
1.617318812,0
1.617359313,1
1.617632625,0
1.617671250,1
1.618051188,0
1.618088500,1
1.618572563,0
1.618612500,1
1.618885188,0
1.618926312,1
1.619094125,0
1.619132625,1
1.619824187,0
1.619865062,1
1.620033062,0
1.620073375,1
1.620553250,0
1.620594750,1
1.621177500,0
1.621220437,1
1.622537188,0
1.622577813,1
1.622956000,0
1.622994438,1
1.623164750,0
1.623203000,1
1.662240063,0
1.662283313,1
1.664675625,0
1.664716562,1
1.664883687,0
1.664924687,1
1.665091750,0
1.665132312,1
1.665299750,0
1.665337500,1
1.665507750,0
1.665547375,1
1.665819625,0
1.665861312,1
1.666131625,0
1.666174188,1
1.666443625,0
1.666484375,1
1.666651687,0
1.666693812,1
1.666963688,0
1.667002000,1
1.667002062,0
1.667004750,1
1.667483812,0
1.667522563,1
1.667691750,0
1.667729312,1
1.668107625,0
1.668150312,1
1.669251438,0
1.669295063,1
1.669667500,0
1.669709437,1
1.669875688,0
1.669917000,1
1.692321812,0
1.692365500,1
1.694749625,0
1.694790250,1
1.694957750,0
1.694996187,1
1.695165625,0
1.695205000,1
1.695373750,0
1.695412500,1
1.695581625,0
1.695623125,1
1.695893563,0
1.695933687,1
1.696205625,0
1.696246437,1
1.696621750,0
1.696659188,1
1.697145563,0
1.697186125,1
1.697670312,0
1.697707562,1
1.697879563,0
1.697919812,1
1.698506000,0
1.698547375,1
1.698923313,0
1.698964625,1
1.699132625,0
1.699172750,1
1.699758000,0
1.699799625,1
1.699967313,0
1.700006188,1
1.700908188,0
1.700948500,1
1.702166188,0
1.702205875,1
1.702896812,0
1.702940250,1
1.742283063,0
1.742329063,1
1.744710938,0
1.744754750,1
1.744919062,0
1.744960062,1
1.745127062,0
1.745166562,1
1.745335125,0
1.745373750,1
1.745543000,0
1.745581812,1
1.745855000,0
1.745895000,1
1.746166875,0
1.746210312,1
